name,type,etc,etc2,longitude,latitude,joindate,outdate
이정표,안내판,203398.44,533607.15,127.0383826,37.40181055,12/23/2015 04:02:28 PM,
이정표,안내판,203880.91,533866.15,127.0438331,37.4041423,12/23/2015 12:35:15 PM,01/03/2016 11:57:00 AM
이정표,안내판,202696.91,534152.47,127.0304614,37.40672631,01/02/2016 10:28:47 AM,
이정표,안내판,203375.59,532328.43,127.0381187,37.39028909,12/21/2015 08:07:00 AM,
위험지,안내판,203757.02,535618.22,127.0424427,37.4199293,12/23/2015 12:43:00 PM,
위험지,안내판,203726.99,535684.22,127.0421038,37.4205241,12/29/2015 02:12:07 PM,
위험지역,안내판,204097.99,536685.66,127.0463005,37.42954568,12/23/2015 02:07:39 PM,
위험지,안내판,203553.74,532639.22,127.040132,37.39308871,12/20/2015 12:02:01 PM,
이정표,안내판,225283.76,563242.04,127.2865779,37.66847921,01/04/2016 10:22:00 AM,
이정표,안내판,224157.69,564105.16,127.2738432,37.67628598,01/02/2016 08:53:06 AM,
이정표,안내판,224002.37,564410.1,127.2720926,37.67903747,01/05/2016 07:41:00 PM,
이정표,안내판,224010.52,564426.67,127.2721855,37.67918655,12/29/2015 01:37:00 PM,
119신고안내,안내판,243983.03,553670.43,127.4979428,37.58153816,01/03/2016 10:22:35 AM,
119신고안내,안내판,243293.31,552891.52,127.4900885,37.57455316,12/21/2015 11:01:00 AM,01/03/2016 11:57:00 AM
119신고안내,안내판,243577.59,554258.24,127.4933878,37.58685336,12/28/2015 11:50:00 AM,
119신고안내,안내판,243678.16,554064.3,127.4945148,37.58510128,12/22/2015 12:27:31 PM,
119신고안내,안내판,243986.86,552795.14,127.4979336,37.57365196,12/22/2015 10:13:00 AM,
119신고안내,안내판,242933.37,554114.46,127.4860857,37.58558822,12/23/2015 02:11:27 PM,01/03/2016 11:57:00 AM
119구조안내,안내판,243191.25,553783.61,127.4889858,37.58259534,12/31/2015 11:07:00 AM,
119구조안내,안내판,243061.83,553238.05,127.4874886,37.57768611,12/21/2015 09:24:00 PM,
119구조안내,안내판,229874.01,585196.77,127.3395083,37.86614234,12/31/2015 11:36:07 AM,01/03/2016 11:57:00 AM
119구조안내,안내판,229741.37,585523.62,127.3380143,37.86909138,12/28/2015 12:26:40 PM,
위험안내,안내판,228761.45,586374.46,127.3269114,37.87678833,12/29/2015 01:14:00 PM,
119신고안내,안내판,229608.42,585425.77,127.3364993,37.86821414,12/24/2015 09:17:00 AM,01/03/2016 11:57:00 AM
입산통제,통제구역,229473.99,585537.74,127.3349761,37.86922728,12/31/2015 07:04:00 AM,
입산통제,통제구역,229103.63,585618.55,127.3307703,37.86996722,12/28/2015 03:58:00 PM,
위험경고,안내판,228818.13,585661.52,127.3275272,37.87036342,12/29/2015 07:38:05 PM,
이정표,안내판,239699.88,586166.42,127.4512265,37.87450319,12/28/2015 08:43:00 AM,
이정표,안내판,238124.72,586676.92,127.4333508,37.87916965,12/22/2015 07:05:52 AM,
이정표,안내판,236763.95,588535.8,127.4179784,37.89597264,12/26/2015 08:55:06 AM,
이정표,안내판,237416.09,586397.08,127.4252817,37.87667788,12/27/2015 08:39:01 PM,
이정표,안내판,238811.5,588514.8,127.4412557,37.89569849,01/04/2016 08:03:45 PM,
안내판,안내판,235365.09,585352.02,127.4019189,37.86734455,01/05/2016 01:42:03 PM,
이정표,안내판,235168.67,586775.61,127.3997559,37.88017766,12/21/2015 08:47:00 AM,
이정표,안내판,235213.45,587485.3,127.4002995,37.88656971,12/28/2015 02:32:00 PM,
이정표,안내판,207233.7,566818.62,127.082026,37.70102302,12/28/2015 05:35:36 AM,
이정표,안내판,207238.07,566827.58,127.0820757,37.70110371,12/27/2015 10:59:00 AM,
산림욕장 안내판,안내판,205535.17,594135.29,127.0629745,37.94714601,01/03/2016 10:51:51 AM,
소요산관광안내도,안내판,206121.84,594073.36,127.0696486,37.9465843,12/28/2015 04:30:07 PM,
요석공원입구표지판,안내판,206139.34,594081.82,127.0698477,37.9466604,12/29/2015 10:28:09 AM,
일주문까지거리안내판,안내판,206158.07,594101.29,127.070061,37.94683568,12/26/2015 04:33:24 PM,
요석공원안내판,안내판,206205.65,594122.7,127.0706025,37.94702825,12/21/2015 03:15:00 PM,
안내판,안내판,206388.97,594150.61,127.0726884,37.94727843,01/04/2016 09:41:00 AM,
안내판,안내판,206536.28,594084.45,127.0743638,37.94668132,12/23/2015 11:19:00 AM,
